model,axis,percent,run_id,train_gms_used,use_scales_count,train_samples,val_samples,test_samples,best_epoch,train_time_s,peak_gpu_gb,params_m,mse,rmse,mae,r2,pfa_mse_g2,pfa_r2,latency_ms_per_sample
FNO-Large,Joint,60,E-J60,1800,34,48960,12240,27018,16,4077.451329946518,3.2508673667907715,8.505793,0.07704583092337314,0.27757130781724026,0.14313883505710698,0.9009604549832846,0.0018880430754315218,0.9288723905895193,0.10971333831548691
Transformer,Joint,60,E-J60,1800,34,48960,12240,27018,50,4150.509441137314,2.4917683601379395,7.957775,0.02939943439023266,0.17146263263531406,0.08042830070811685,0.9622081224790308,0.0008298732423650919,0.9687364654910415,0.16259923577308655
FNO-Large,Joint,40,E-J40,1200,23,22080,5520,27018,13,1823.3941164016724,3.2508673667907715,8.505793,0.09867071882453075,0.31411895648707794,0.16690789939953227,0.8731624673037409,0.0026085904106338924,0.9017274540745919,0.1523064449429512
Transformer,Joint,40,E-J40,1200,23,22080,5520,27018,48,1814.9730868339539,2.4917683601379395,7.957775,0.045498157378949335,0.21330297086292382,0.10627924973303388,0.9415138138961514,0.0013757839477524846,0.9481705557768684,0.10277703404426575
FNO-Large,Joint,20,E-J20,600,11,5280,1320,27018,19,434.2812168598175,3.2508673667907715,8.505793,0.13915434958327838,0.3730339791269401,0.2012488727494749,0.8211222683349122,0.0030949868668427526,0.8834036045787541,0.15917960554361343
Transformer,Joint,20,E-J20,600,11,5280,1320,27018,10,354.64400601387024,2.4917683601379395,7.957775,0.5167909708053428,0.7188817502241539,0.41395085833017187,0.33568446204166136,0.019412828441820965,0.2686670675419167,0.10489877313375473
FNO-Large,Joint,10,E-J10,300,6,1440,360,27018,10,113.64350271224976,3.2508673667907715,8.505793,0.1835504733317256,0.42842790914192974,0.24673926172819585,0.7640527054026224,0.006507967283745328,0.7548275454951536,0.15684682875871658
Transformer,Joint,10,E-J10,300,6,1440,360,27018,15,117.55941605567932,2.4917683601379395,7.957775,0.5459127581756839,0.7388590922332104,0.42894592056539854,0.29824948941996765,0.02211397269337948,0.16690777201190976,0.1344362273812294
FNO-Large,Joint,5,E-J05,150,3,360,90,27018,20,25.929627418518066,3.2508673667907715,8.505793,0.27073581701223104,0.5203228007806606,0.3135236288028274,0.6519791945227011,0.010547353200864295,0.6026531234654191,0.11080745607614517
Transformer,Joint,5,E-J05,150,3,360,90,27018,27,25.458252906799316,2.4917683601379395,7.957775,0.5649314480209567,0.7516192174372318,0.4389859729051196,0.2738016722374492,0.03150884296726586,-0.1870220042726689,0.10489560663700104
