epoch,train_loss,train_mse,train_pfa_mse_g2,val_loss,val_mse,val_pfa_mse_g2,lr,epoch_s,gpu_peak_gb
1,0.3824478660279246,0.3829997275523879,0.047076960976360833,0.2078079112312373,0.2078820371893275,0.008899285695706194,0.001,133.09362530708313,48.92295026779175
2,0.16585241313745727,0.16589644013462476,0.008411268337428222,0.160188720725915,0.16025168433235867,0.00735867586749339,0.001,121.5869574546814,48.92295026779175
3,0.1285614765513299,0.12859079944870858,0.006443401578574153,0.14123519159415188,0.141199961622807,0.005230385309074357,0.001,121.70802330970764,48.92295026779175
4,0.1074938240891962,0.10753587818287037,0.0055368004730570386,0.12760818399050655,0.1275096948099415,0.00543846064840841,0.001,121.60786175727844,48.92295026779175
5,0.09256651163546008,0.09258869049250731,0.0048712323074452364,0.11905378738746923,0.11892986796418129,0.00486883657020435,0.001,121.53695631027222,48.92295026779175
6,0.08304906647596787,0.08305181339851364,0.004401626283662361,0.11548129184281125,0.11533872517665691,0.004105717599043372,0.001,121.85924124717712,48.92295026779175
7,0.0757494986946903,0.07575243051748294,0.004037469405876962,0.11191059670904104,0.11176813596491228,0.004577895953641301,0.001,121.48203206062317,48.92295026779175
8,0.06891337804385085,0.06893005967881945,0.0036906431780921087,0.11024725678212502,0.110083055707846,0.0036369719073089243,0.001,121.5383939743042,48.92295026779175
9,0.06397051061156081,0.06399074921189693,0.003438343979113283,0.10694490789490588,0.1067729596125731,0.0038730317598197894,0.001,121.68968963623047,48.92295026779175
10,0.05896843021818951,0.05897581018518518,0.003218390939877047,0.10425331925644594,0.10405451373659844,0.0035790858910097713,0.001,121.54183650016785,48.92295026779175
11,0.05476447205934951,0.05476921033595273,0.0030350140512686724,0.10372747195994153,0.10352951069078947,0.0032774040852373803,0.001,121.61290574073792,48.92295026779175
12,0.05136973858435652,0.05138013340643275,0.0028871980126489675,0.1009541631621473,0.10075807489644249,0.00334533847563448,0.001,121.51097226142883,48.92295026779175
13,0.04879458593343621,0.048791319977461015,0.002779238006176307,0.10139717709492235,0.10118354714912281,0.003536309944955926,0.001,121.5872175693512,48.92295026779175
14,0.04612978239224028,0.04613504892330653,0.0026503481685418136,0.09813864485305898,0.09791575292397661,0.0031932599920975534,0.001,121.54509091377258,48.92295026779175
15,0.04419777970483054,0.04418297704982944,0.0025529691437531634,0.10024832232910044,0.10002853161549707,0.0030892516820751437,0.001,121.63436007499695,48.92295026779175
16,0.04208784002755115,0.042094726391173246,0.0024522918454039167,0.0977677295313162,0.09755058449074074,0.003035855697609528,0.001,121.51708769798279,48.92295026779175
17,0.04030213493909409,0.04029942417077851,0.0023490349887407315,0.09661540454801391,0.09638786123294348,0.0030382853885840256,0.001,121.72224044799805,48.92295026779175
18,0.039128197273656504,0.039126538609435914,0.0022987279287207197,0.09594892337918282,0.09571703048854775,0.0032646453520010785,0.001,121.47013354301453,48.92295026779175
19,0.03786863939864422,0.03787815826594481,0.002224009009132608,0.09546238622244667,0.09523052936159844,0.0028831256446782607,0.001,121.54511547088623,48.92295026779175
20,0.036041403578510926,0.03603965669925682,0.002122930712692919,0.09619477303589091,0.09596883436890838,0.0026018367211023967,0.0005,121.46550869941711,48.92295026779175
21,0.033476565756014924,0.03347965472899915,0.002003098213881777,0.09541877775507815,0.09519179459064328,0.002784686234959385,0.0005,121.47899436950684,48.92295026779175
22,0.03278977161189958,0.032786080215186406,0.0019567990346610197,0.09562894460909507,0.09540266020955165,0.002687624964797706,0.0005,121.33755326271057,48.92295026779175
23,0.032242471560724635,0.03224145502101608,0.0019195824216680917,0.09567006129552336,0.09544328338206627,0.002698978095026741,0.0005,121.62984204292297,48.92295026779175
24,0.03172897290327211,0.03172986286245127,0.0018866538687756188,0.09572716955752934,0.09549622944078948,0.0027084483737834014,0.0005,121.6060004234314,48.92295026779175
25,0.03120347829674607,0.031201217381289597,0.0018486332353095563,0.09588398521437365,0.09566093795687135,0.0026013628990329495,0.0005,121.68243885040283,48.92295026779175
26,0.030676414578485845,0.030677158812286793,0.0018138615386179317,0.09635679467635996,0.09613215780336257,0.0025078233431654368,0.0005,121.53647375106812,48.92295026779175
27,0.03034715351662529,0.030343573457297757,0.0017845785513258816,0.09587143383481923,0.0956434050621345,0.00264002956144991,0.0005,121.6032121181488,48.92295026779175
28,0.029908288006128658,0.029902868552403143,0.0017541849639332086,0.0961288340827998,0.09590224917763158,0.002539547866548014,0.0005,121.53314304351807,48.92295026779175
