global_idx,gm_id,scale_id,FNO-Large_mse,Transformer_mse,BiLSTM_mse,FNO-Large_r2,Transformer_r2,BiLSTM_r2
193401,3393,0,0.00029608592740260065,0.0006071553216315806,1.399009761371417e-05,0.9623895287513733,0.9228757619857788,0.9982228875160217
193410,3393,9,0.009758276864886284,0.0053278557024896145,0.0038735587149858475,0.966365396976471,0.981636106967926,0.9866487383842468
193447,3393,46,0.11696368455886841,0.03287375345826149,0.009742166846990585,0.9410548210144043,0.9834328889846802,0.9950903058052063
193457,3393,56,0.19907942414283752,0.21853549778461456,0.01955576241016388,0.8976197838783264,0.8876141309738159,0.9899430871009827
36195,635,0,0.00026146130403503776,0.00015314955089706928,1.1621563317021355e-05,0.9351003766059875,0.9619854092597961,0.9971153140068054
36204,635,9,0.005895532201975584,0.0038488460704684258,0.0028637265786528587,0.9651641845703125,0.9772577285766602,0.98307865858078
36241,635,46,0.06291119009256363,0.021540982648730278,0.00879029743373394,0.95753014087677,0.9854581952095032,0.9940658807754517
36251,635,56,0.35677409172058105,0.306437611579895,0.07874031364917755,0.7453250885009766,0.7812565565109253,0.9437930583953857
21033,369,0,0.00032120125251822174,7.329505024245009e-05,9.923363904817961e-06,0.6707448363304138,0.9248671531677246,0.9898278117179871
21042,369,9,0.002056209137663245,0.001490544294938445,8.84700202732347e-05,0.9787911176681519,0.9846256971359253,0.9990874528884888
21079,369,46,0.05861577391624451,0.023751411586999893,0.011476336047053337,0.9526743292808533,0.9808233976364136,0.9907341599464417
21089,369,56,0.18505248427391052,0.05632249265909195,0.02914896048605442,0.8293187618255615,0.9480515122413635,0.9731147289276123
