structure_id,paper_label,type,stories,height_m,best_epoch,best_val_mse,test_mse,test_rmse,test_mae,test_r2,test_pfa_rmse_g,test_pfa_mae_g,test_pfa_r2,train_time_s,peak_gpu_gb,best_checkpoint
F10,F-10,Frame,10,30.0,21,0.03787037669042398,0.03887844388463247,0.19717617473881693,0.10648435254197819,0.9107025584794832,0.02833294825816016,0.017657553102167278,0.9294390389629217,6138.487524032593,48.92295026779175,6-code/O4-multi-structure/results/runs/F10/checkpoints/FNO-Large_F10_best.pt
F2,F-2,Frame,2,6.0,23,0.06123424075596978,0.06046682950178276,0.2459000396538861,0.13110206544402497,0.9258022313488555,0.035490483706719915,0.024128364011214022,0.9532259579571681,6222.4764013290405,48.92295026779175,6-code/O4-multi-structure/results/runs/F2/checkpoints/FNO-Large_F2_best.pt
F6,F-6,Frame,6,18.0,18,0.08191882447002924,0.0809582824413354,0.284531689696131,0.14647662572945197,0.8959311439625479,0.03922811006924195,0.02590803249714085,0.9420276358304328,6330.268574476242,48.92295026779175,6-code/O4-multi-structure/results/runs/F6/checkpoints/FNO-Large_F6_best.pt
FW10,FW-10,Frame-shear wall,10,30.0,14,0.16215763401559455,0.16460282246249414,0.40571273391710805,0.22392429718921952,0.8635933451923309,0.07340783589426282,0.04851515808997796,0.9342427538878497,6145.706531047821,48.92295026779175,6-code/O4-multi-structure/results/runs/FW10/checkpoints/FNO-Large_FW10_best.pt
FW14,FW-14,Frame-shear wall,14,42.0,21,0.09519179459064328,0.09851593632794187,0.3138724841841697,0.17464705551237447,0.8919759333579776,0.05489374480232132,0.03660711224492645,0.945430314880422,6144.4424703121185,48.92295026779175,6-code/O4-multi-structure/results/runs/FW14/checkpoints/FNO-Large_FW14_best.pt
FW17,FW-17,Frame-shear wall,17,52.0,14,0.08998355514437134,0.09324670339372518,0.30536323189559866,0.1713729751153552,0.8888083122887416,0.05656909196588892,0.03799631385766513,0.9342176556661884,6426.595253705978,48.92295026779175,6-code/O4-multi-structure/results/runs/FW17/checkpoints/FNO-Large_FW17_best.pt
