epoch,train_loss,train_mse,train_pfa_mse_g2,val_loss,val_mse,val_pfa_mse_g2,lr,epoch_s,gpu_peak_gb
1,0.2954206802506945,0.295853034996345,0.026368723692949753,0.15546385133091142,0.15577222892300194,0.005339085010060093,0.001,126.22393584251404,48.92295026779175
2,0.1235330297208544,0.12356929066916424,0.00403462952514838,0.1259474024614867,0.12624576541179336,0.0040134607281601216,0.001,125.90875792503357,48.92295026779175
3,0.09216011454587553,0.09219747342531677,0.002744574816951975,0.10028892339152448,0.10051740984405458,0.0025768939427465026,0.001,125.63158750534058,48.92295026779175
4,0.0748724746726342,0.07489579369974415,0.0021556383536921607,0.0933994302416549,0.09357788598014133,0.0022651361408289414,0.001,125.89167475700378,48.92295026779175
5,0.06530343896862287,0.0653227586272539,0.001858321755950214,0.08925675348762203,0.08945368649488304,0.0021190341139397427,0.001,125.81845331192017,48.92295026779175
6,0.05979349889528396,0.059795819284539475,0.0017065637789623082,0.0869633780025384,0.08713849369517544,0.002011446820365058,0.001,125.89632153511047,48.92295026779175
7,0.05418359891358596,0.054193543284752684,0.0015458838371505514,0.08752343474942095,0.08769765396564327,0.002066514195754514,0.001,126.03156232833862,48.92295026779175
8,0.050855977988954804,0.05086767364918372,0.0014649647748784015,0.08470090588226038,0.08481937652290449,0.0015953883650707222,0.001,126.07095503807068,48.92295026779175
9,0.04734091263320019,0.04735580279909844,0.0013875843584537507,0.08539604176493253,0.08559117522538987,0.0016882377444652089,0.001,126.06297492980957,48.92295026779175
10,0.04513542487550137,0.04514098463389376,0.0013485805150012524,0.0845093527699218,0.08471231062682749,0.0016461539948195742,0.001,126.06142616271973,48.92295026779175
11,0.04236913291709637,0.04237080845288133,0.0012703099005926422,0.0856743319069638,0.08587859862329435,0.0016493382352834557,0.001,126.0158703327179,48.92295026779175
12,0.04021015018224716,0.04021420108430799,0.001231419444519874,0.08333135374328669,0.0834899489826998,0.001555585183246791,0.001,126.13333868980408,48.92295026779175
13,0.03925277050862561,0.039250773711622805,0.0012167806496397096,0.08267440800281133,0.08283344709429824,0.001616168745428498,0.001,126.08076858520508,48.92295026779175
14,0.03779490600659776,0.03779603601288377,0.0011894707721576356,0.08268367981209475,0.08286316109283626,0.0016300896908107558,0.001,126.01247072219849,48.92295026779175
15,0.03629004251934699,0.03628775554337232,0.001162125484810935,0.0829525807981982,0.08310699462414717,0.0014849733827058335,0.001,126.20926070213318,48.92295026779175
16,0.03514694489205061,0.03515130616662098,0.0011315350330363936,0.08514037147602614,0.08535649678667154,0.0016842892051440234,0.001,125.83447933197021,48.92295026779175
17,0.03433119783650583,0.03432679749367994,0.0011041923006724196,0.08261652970138718,0.08279050682261209,0.0015564808188474667,0.001,125.94440245628357,48.92295026779175
18,0.0329024181909748,0.0328957853428058,0.0010824659222747847,0.08173805628629292,0.08191882447002924,0.0015553741496905945,0.001,125.8210973739624,48.92295026779175
19,0.032544020354858975,0.03254168105811404,0.0010696208215596383,0.0829357368981137,0.08314047179580897,0.0016269648432383063,0.001,126.02912473678589,48.92295026779175
20,0.031231752694097916,0.031226006611309087,0.0010374469662967482,0.0821352053214522,0.08229900942677876,0.0017519299450673555,0.0005,126.82074427604675,48.92295026779175
21,0.028498613233886548,0.028499801299037526,0.0009761818979828679,0.08200873072971315,0.0821842820266813,0.0015657420543550749,0.0005,127.67655420303345,48.92295026779175
22,0.027923383499815393,0.027918004452591984,0.0009622549553189361,0.08296692842508063,0.08312242271259747,0.001430057537311699,0.0005,126.0811939239502,48.92295026779175
23,0.027475682949063492,0.027476778562073586,0.0009525563411022488,0.0831696462324437,0.08336780793128655,0.0015311711965597164,0.0005,126.09054660797119,48.92295026779175
24,0.02741992744658865,0.02741932484885173,0.000948965537269213,0.08317686080494348,0.08339097648635478,0.0015011998043771375,0.0005,125.92847657203674,48.92295026779175
25,0.02694920618643067,0.026948320074546176,0.0009393165652689181,0.08333843782105867,0.08355159706993177,0.0015651085615506646,0.0005,126.33785963058472,48.92295026779175
26,0.026686054459814704,0.026687439778645832,0.0009322204780683183,0.08257458753445569,0.08277728176778752,0.001588788414210604,0.0005,126.13376021385193,48.92295026779175
27,0.026450639674023016,0.02644978226273148,0.0009266857341019034,0.08444395738051218,0.08463312050743177,0.001376322554043162,0.0005,125.96308732032776,48.92295026779175
28,0.026366768335339737,0.02635871070906433,0.0009219782646985082,0.08450478764579576,0.08468943287037037,0.0014236017974496584,0.0005,125.79972195625305,48.92295026779175
29,0.02586094278897812,0.025860192847298367,0.0009082142590430745,0.08494839532410398,0.08517616007249025,0.0016607549054580822,0.0005,126.07144284248352,48.92295026779175
30,0.025982404280620725,0.0259847196332846,0.0009125503893309866,0.08473296408705852,0.0848921805707846,0.0013843927397365458,0.0005,125.83844566345215,48.92295026779175
31,0.025458581412016457,0.02546270334582115,0.0008959315475403217,0.0833597944720703,0.08357000578703704,0.0015992963453482466,0.0005,126.2410717010498,48.92295026779175
32,0.02527805756944329,0.025278111065423978,0.0008927956711479098,0.08340075601111441,0.08357888866045321,0.0014513248762889216,0.0005,125.89632606506348,48.92295026779175
33,0.02495333895698857,0.02495076918098197,0.0008900647048364606,0.0836785214350504,0.08388805875365497,0.001449859342728442,0.0005,126.02242660522461,48.92295026779175
34,0.024261552228856443,0.02426156779209308,0.0008673617511726262,0.08399062647539027,0.08419362496954191,0.0014602911280609712,0.0005,126.26858329772949,48.92295026779175
35,0.02412545286230187,0.02411725765830592,0.0008633564504092199,0.083967684822924,0.08417521381578948,0.0014302737862743132,0.0005,125.81540036201477,48.92295026779175
36,0.02388534080515157,0.023886127092090034,0.0008555729210115316,0.08413907173363601,0.08436143320540936,0.0015343982547695873,0.0005,125.89397311210632,48.92295026779175
37,0.02404576884721642,0.024039646410133408,0.0008637766174057074,0.08422285175937064,0.08442058471917642,0.0014304200093648587,0.0005,126.12879395484924,48.92295026779175
38,0.02358533678326144,0.0235833119650798,0.0008508506003353331,0.08509294809225727,0.08525650341130604,0.0013836265664700178,0.0005,125.67074823379517,48.92295026779175
39,0.023470017044290678,0.023472046136391325,0.0008412031973140282,0.08391300917548292,0.08411797834429824,0.0014942876515332717,0.0005,125.69964671134949,48.92295026779175
40,0.0232611798278209,0.02326592950475146,0.0008401585840865185,0.08551957754089552,0.08575117271259747,0.0015878675538196897,0.00025,125.722660779953,48.92295026779175
41,0.021915116833884325,0.021910003102917883,0.0008105009491419235,0.08445049384061028,0.08465501081262183,0.0013959861455256478,0.00025,125.91873216629028,48.92295026779175
42,0.021156193744113195,0.021160571841115375,0.0007939175202658302,0.08462707961306852,0.08483296555190059,0.0014309939951227422,0.00025,127.18819570541382,48.92295026779175
43,0.02103546922053419,0.021034771088419835,0.000791304543919382,0.08521919818047215,0.08540450909173977,0.0013720496695989754,0.00025,126.92008590698242,48.92295026779175
44,0.020999752040674436,0.020997260123507555,0.0007871195541052093,0.0846590358106529,0.08486501271625244,0.0014849364156262917,0.00025,125.75742435455322,48.92295026779175
45,0.02087530100356732,0.02086742685299403,0.0007854146843678073,0.08548673866864513,0.08571490131578947,0.001400322040967774,0.00025,125.9559211730957,48.92295026779175
46,0.020858563121352622,0.02085866339432566,0.0007823233663687231,0.08558272340280168,0.08578447414108187,0.0013778684057338894,0.00025,125.98039722442627,48.92295026779175
47,0.02070141414096996,0.02069957629941825,0.0007797024211688348,0.08513263339067206,0.08537714615314328,0.0014389535070162768,0.00025,125.90704035758972,48.92295026779175
48,0.020760646757127632,0.020756492712902048,0.000779943782509419,0.0854135142529712,0.08562946485136452,0.0014798672209706224,0.00025,126.04102039337158,48.92295026779175
49,0.020952161067902153,0.020949394873903508,0.0007835222096645344,0.08523135752800633,0.0854588230994152,0.001509147059847737,0.00025,125.84190034866333,48.92295026779175
50,0.020565945488303455,0.02056660884388706,0.0007733984295910562,0.08509795619722675,0.08531613570601852,0.0014302263082119457,0.00025,125.96381616592407,48.92295026779175
