name,filename,group,source,gm_id,scale_id,descriptor_mode,pga_ms2,rms_acc_ms2,arias_proxy,rms_acc_norm,arias_proxy_norm,duration_5_95_s,n_steps,dt,dominant_freq_hz,spectral_centroid_hz,band_0p1_1_hz,band_1_5_hz,band_5_10_hz,band_10_25_hz,sa_t0_ms2,psa_t0p2_ms2,psa_t0p5_ms2,psa_t1p0_ms2,psa_t2p0_ms2,psa_mean_0p1_0p5,psa_mean_0p5_1p5,psa_mean_1p5_4p0,psa_t0p2_ms2_norm,psa_t0p5_ms2_norm,psa_t1p0_ms2_norm,psa_t2p0_ms2_norm,psa_mean_0p1_0p5_norm,psa_mean_0p5_1p5_norm,psa_mean_1p5_4p0_norm,pc1,pc2,train_nn_distance,train_nn_percentile
knet_gm0000_s09,knet_gm0000_s09.txt,train_pool,knet,0.0,9.0,amplitude_normalized,0.99502,0.161211037890534,1.5593399242645583,0.16201788696763283,1.5749877418473681,21.659999999999997,3000,0.019999999999999574,1.3000000000000276,6.787922894916689,0.16527390032595607,0.6654294905604252,0.10764901455531903,0.06161055835602273,0.99502,1.960948321,1.361144738,1.499543429,0.4328435342,2.3235700438888887,1.5574024042380952,0.2957510111862745,1.9707627193423247,1.3679571646801068,1.5070485306828003,0.43500988341942876,2.3351993365850823,1.5651970857250057,0.29723122267519697,0.2568588031674389,0.3243261395498832,0.0,0.0
knet_gm0001_s09,knet_gm0001_s09.txt,fixed_test,knet,1.0,9.0,amplitude_normalized,1.0,0.1953356169922598,2.2893601959447554,0.1953356169922598,2.2893601959447554,37.26,3000,0.019999999999999574,2.216666666666714,10.085881244257848,0.03943902156182855,0.31999094333304584,0.29376812646653344,0.34663898127605614,1.0,2.136644868,1.19214945,0.7608643227,0.2577924239,1.9688081522222223,0.7073190458095238,0.238705630694902,2.136644868,1.19214945,0.7608643227,0.2577924239,1.9688081522222223,0.7073190458095238,0.238705630694902,-2.372937161207608,-2.6899076160344904,1.5162169673467145,78.16666666666666
knet_gm0002_s09,knet_gm0002_s09.txt,train_pool,knet,2.0,9.0,amplitude_normalized,1.0,0.13100987356545424,1.029815218298158,0.13100987356545424,1.029815218298158,13.560000000000002,3000,0.019999999999999574,2.6666666666667234,5.491407289720543,0.043494392800317756,0.766266929152792,0.17337647867326816,0.01685994655820867,1.0,2.490919996,1.277673303,1.004058251,0.2125512563,2.786527976111111,0.7183600020904761,0.12578772578058825,2.490919996,1.277673303,1.004058251,0.2125512563,2.786527976111111,0.7183600020904761,0.12578772578058825,-1.4536812315369105,2.0030679192307255,0.0,0.0
knet_gm0003_s09,knet_gm0003_s09.txt,train_pool,knet,3.0,9.0,amplitude_normalized,0.94158,0.09334193114924823,0.5227629666402487,0.09913329844436822,0.5896446516275984,15.020000000000003,3000,0.019999999999999574,5.083333333333441,8.769727477982798,0.09291935983252529,0.24162662726563133,0.5049864912226719,0.16031198235242616,0.94158,3.030353909,0.6957265786,0.52791103,0.4178290832,1.5320899063000002,0.5459509848428572,0.19585308917843136,3.218371151681217,0.7388926895218675,0.5606650842201406,0.4437531417404788,1.6271478857877189,0.5798243217175993,0.2080047252261426,-4.1556246712080025,-2.1272564074572067,0.0,0.0
knet_gm0004_s09,knet_gm0004_s09.txt,fixed_test,knet,4.0,9.0,amplitude_normalized,0.97604,0.18330765862058881,2.016101862537693,0.18780752696671124,2.1163000311210696,28.159999999999997,3000,0.019999999999999574,1.7000000000000361,5.744368506800344,0.09779263566003954,0.756300609107192,0.11357390594397859,0.03229517182088187,0.97604,1.958782325,2.949243111,1.308630437,0.5098127106,2.4056558354444446,1.5182731053333334,0.3538915040694117,2.0068668548420145,3.021641644809639,1.3407549250030735,0.5223276818573009,2.4647102940908616,1.555543938089969,0.362578894378726,1.3431583886402827,1.1809459297199911,1.0272127703906644,19.5
knet_gm0005_s09,knet_gm0005_s09.txt,train_pool,knet,5.0,9.0,amplitude_normalized,0.92782,0.17900793493065534,1.9226304460882229,0.19293390413081776,2.2334094817895283,40.18,3000,0.019999999999999574,2.450000000000052,8.369675011811038,0.02886220944799718,0.33234771706650956,0.36588462422501017,0.2728936928463832,0.92782,2.015076943,1.442731984,0.5041170911,0.2154092116,1.9107609979999998,0.7266791859380952,0.22372968545098046,2.1718403817550818,1.5549696967084132,0.543335012286866,0.23216702765622643,2.059409150481774,0.7832113836068367,0.24113479495050813,-1.9785845716204726,-2.0943297675919164,0.0,0.0
knet_gm0006_s09,knet_gm0006_s09.txt,train_pool,knet,6.0,9.0,amplitude_normalized,0.97101,0.16553976054118688,1.6442047392019725,0.17048203472795015,1.7438474498988796,36.120000000000005,3000,0.019999999999999574,5.850000000000124,7.8235537855243855,0.04694553373144649,0.3564349555457929,0.39736964703182887,0.19923505700290883,0.97101,2.14914541,1.184137973,0.6370486139,0.2536138613,1.9996241508888888,0.6121621440761905,0.2770650602235294,2.213309245012925,1.2194910176002305,0.656068025972956,0.2611856327947189,2.0593239522650526,0.6304385578688072,0.2853369792520462,-2.499196029015565,-1.9969759747425855,5.960464477539063e-08,0.0
knet_gm0007_s09,knet_gm0007_s09.txt,train_pool,knet,7.0,9.0,amplitude_normalized,0.9712,0.20853201269586205,2.609136019139179,0.2147158285583423,2.7661732220096718,33.6,3000,0.019999999999999574,3.7166666666667454,7.428567639797398,0.03812055023593696,0.5129491087668685,0.3548071964752647,0.09404146736328739,0.9712,3.161271309,1.143888738,0.7110620259,0.2683364294,2.503438685555556,0.7851691034571427,0.2601142306529412,3.255015762973641,1.177809656095552,0.7321478849876442,0.27629368760296547,2.577675747071207,0.8084525365085902,0.2678276674762574,-1.1745857469544225,-0.7883254926327717,0.0,0.0
knet_gm0008_s09,knet_gm0008_s09.txt,train_pool,knet,8.0,9.0,amplitude_normalized,0.99103,0.16405402018228438,1.6148232922781298,0.1655389041525326,1.6441877272812506,26.620000000000005,3000,0.019999999999999574,2.416666666666718,5.998947087502435,0.04439151445576485,0.8025639009394141,0.11916679617555268,0.03381508222437957,0.99103,2.830295318,2.218298367,1.073801423,0.3442767972,2.610423535555556,1.0218938565428572,0.21292260857803919,2.8559128563212015,2.2383766051481793,1.0835206028071804,0.3473929116172063,2.634050972781405,1.0311432111468444,0.21484981138617318,-0.19686935599839592,1.6581745449290448,4.2146848510894035e-08,0.0
knet_gm0009_s09,knet_gm0009_s09.txt,train_pool,knet,9.0,9.0,amplitude_normalized,0.98344,0.13296045752615643,1.0607089959338687,0.13519935890970106,1.0967319989756261,32.5,3000,0.019999999999999574,0.9333333333333531,3.205156709888043,0.14271966334924568,0.844357278140419,0.011005975531162232,0.0015577159308584932,0.98344,1.639217329,1.335346404,1.047810213,0.245632978,2.187967582777778,1.0533615553952382,0.22767154254725488,1.6668198659806395,1.3578321036362158,1.0654541334499308,0.24976915521028228,2.2248104437258784,1.0710989540747156,0.23150526981539787,0.44712873937403597,1.6881508446859936,0.0,0.0
