model,checkpoint,numel,numel_m,real_params,real_params_m,trainable,mse,rmse,mae,r2,pfa_mse_g2,pfa_rmse_g,pfa_mae_g,pfa_r2,loss,spectral_log_mse,high_freq_log_mse,latency_ms_per_sample,best_val_mse,train_time_h,peak_gpu_gb,params_m,batch_size,epochs,rank_mse,rank_r2,rank_pfa,mse_per_hour,r2_per_gb,generalization_gap
BiLSTM,/data/home/jason/Seismic-FNO/6-code/O1-baseline-comparison/results/runs/BiLSTM/checkpoints/BiLSTM_best.pt,8410113,8.410113,8410113,8.410113,8410113,0.0099188614842287,0.0995934811331983,0.0432213771548134,0.9872496731015952,0.0003300793328829,0.0181680855591055,0.0108249000931961,0.987565034951701,0.0099240713056515,0.1852839740596482,0.2222294335740114,1.0494697839021685,0.0101689182879353,7.507228293948703,15.61366891860962,8.410113,64,50,1,1,1,0.0013212414883165234,0.06322983267084087,-0.00025005680370659977
Transformer,/data/home/jason/Seismic-FNO/6-code/O1-baseline-comparison/results/runs/Transformer/checkpoints/Transformer_best.pt,7957775,7.957775,7957775,7.957775,7957775,0.0213903603177851,0.1462544369165773,0.0660383013369173,0.9725034887360728,0.000533425337507,0.023096002630479,0.0149489011169053,0.9799044509395886,0.0214709252808199,0.3250373078083033,0.3907267726411774,0.1057809218764305,0.0217971895928038,2.341890460981263,2.5364460945129395,7.957775,64,50,2,2,2,0.009133800523198869,0.3834118496899567,-0.0004068292750186997
FNO-Large,6-code/O1-baseline-comparison/results/runs/FNO-Large-bs64/checkpoints/FNO-Large-bs64_best.pt,8505793,8.505793,16927169,16.927169,8505793,0.0448808919490714,0.2118511079722536,0.1050106563313501,0.9423072854931448,0.0010877546760695,0.0329811260582404,0.0204876376139049,0.9590213926454952,0.0449616025107302,0.3416421673399337,0.3977926703209573,0.1078980043530464,0.0439618794497365,2.162323934502072,3.2975897789001465,8.505793,64,50,3,3,3,0.020755859579108957,0.28575637015936983,0.0009190124993348966
ResCNN1D,/data/home/jason/Seismic-FNO/6-code/O1-baseline-comparison/results/runs/ResCNN1D/checkpoints/ResCNN1D_best.pt,7355137,7.355137,7355137,7.355137,7355137,0.1480968733036,0.3848335657184805,0.2179850999338596,0.8096269869021784,0.0029878849120218,0.0546615487524994,0.0411752145391326,0.8874384405566411,0.1482058847961555,0.4840071575438722,0.5338901208788509,0.6065387278795242,0.1459837291314495,6.285682277083397,3.494046688079834,7.355137,64,50,4,4,4,0.023560986186581173,0.23171613294815813,0.0021131441721504995
UNet1D,/data/home/jason/Seismic-FNO/6-code/O1-baseline-comparison/results/runs/UNet1D/checkpoints/UNet1D_best.pt,7848321,7.848321,7848321,7.848321,7848321,0.2157477369024913,0.4644865303778908,0.2717088732294789,0.7226643221632085,0.0113087215985683,0.1063424731636818,0.0867897865332614,0.5739704252583557,0.2157875346922564,0.5880364352577403,0.6328961368359572,0.0958140939474105,0.2145316383596796,2.265448966821035,3.032552719116211,7.848321,64,50,5,5,5,0.09523398675593951,0.23830231131936183,0.001216098542811711
MLP,/data/home/jason/Seismic-FNO/6-code/O1-baseline-comparison/results/runs/MLP/checkpoints/MLP_best.pt,9444352,9.444352,9444352,9.444352,9444352,0.7419893067526742,0.8613880117302969,0.5303239485549371,0.0462003899076466,0.0607077825787736,0.2463894936452722,0.2106523828826267,-1.2870233889936116,0.7421306194143092,1.255192926166751,1.0909596579435588,0.0749243423342704,0.7341581120553119,1.5860079570611318,0.2412929534912109,9.444352,64,50,6,6,6,0.467834542348437,0.19147011646707474,0.007831194697362265
