epoch,train_loss,train_mse,train_pfa_mse_g2,val_loss,val_mse,val_pfa_mse_g2,lr,epoch_s,gpu_peak_gb
1,0.3113217200361081,0.31168496185124267,0.02199677762232329,0.19070881298359701,0.19089996862816763,0.006392949157290989,0.001,123.08672666549683,48.92295026779175
2,0.14073863892412897,0.14084895372654727,0.0042210658905450366,0.11125997475841466,0.11135326784844055,0.0026920722520839403,0.001,123.17973303794861,48.92295026779175
3,0.08542361110448837,0.08545372886970029,0.002634673540355169,0.0885100546566879,0.08859939555921052,0.0023479405115222375,0.001,121.96701884269714,48.92295026779175
4,0.07025854995668825,0.07028493150737086,0.0021708810163868796,0.0797097193186774,0.07978794522112573,0.0018531032054744966,0.001,121.92341303825378,48.92295026779175
5,0.06263565322134032,0.06263847115618909,0.0019318012736345592,0.0759899676503504,0.0760539610745614,0.0016427205232848899,0.001,121.9379723072052,48.92295026779175
6,0.057654522220367814,0.05764539570769371,0.0017702434660747037,0.07208380234592102,0.07214920512000488,0.0017999802590810765,0.001,122.16138052940369,48.92295026779175
7,0.05435914051399302,0.05436430072033382,0.001674405025285587,0.06879498645224992,0.06888657986111112,0.0015342964868099369,0.001,121.91853761672974,48.92295026779175
8,0.051391372484947316,0.05140851570114523,0.001578644587282549,0.06759377810008385,0.06771288354349415,0.0018582257489014788,0.001,122.09628200531006,48.92295026779175
9,0.04937705475447783,0.049389663323891324,0.0015318909304880956,0.0662249236860696,0.06632074637548734,0.0014987754490640428,0.001,122.06378531455994,48.92295026779175
10,0.04787463881075382,0.04787402872959308,0.0014990516791218206,0.0666399724124109,0.06673008657711989,0.0014891708062754736,0.001,121.86997413635254,48.92295026779175
11,0.046004880970316145,0.04600237717775341,0.0014520765431443154,0.06487752299974947,0.06498397379081385,0.0016061615673770681,0.001,122.02800464630127,48.92295026779175
12,0.04472148065357955,0.04472390109116106,0.001424829519370146,0.06414545130203753,0.06425319520589669,0.001424152911232229,0.001,122.1470217704773,48.92295026779175
13,0.04318174742051025,0.04317938701190911,0.0013818407097929402,0.06378849201342639,0.0638868791118421,0.001384073593463117,0.001,121.6513922214508,48.92295026779175
14,0.043070835019670316,0.043074249626888404,0.0014061362122060263,0.06295872983687065,0.06307465049342105,0.0014040791326098972,0.001,122.13499689102173,48.92295026779175
15,0.04117071781474263,0.04116954423276072,0.0013415857286829698,0.06311808263554293,0.06324713693957115,0.001522612310292428,0.001,122.00334930419922,48.92295026779175
16,0.0405143176608566,0.040519232303849906,0.0013310549626050637,0.06397813098395572,0.06408417123538011,0.0013818567067559002,0.001,123.0871217250824,48.92295026779175
17,0.039171692512151024,0.03916330386513158,0.0012911864631531531,0.0624623162781491,0.06256827409234893,0.0012662037928202,0.001,122.61606550216675,48.92295026779175
18,0.03863280530629763,0.03862197633025707,0.0012861172271053693,0.06265174389323767,0.06276990953947369,0.0016341229454118606,0.001,122.22713112831116,48.92295026779175
19,0.03804829182909496,0.038052475671600874,0.0012765610143977996,0.06233715057811316,0.06246037440606725,0.0013983675811374396,0.001,122.64250206947327,48.92295026779175
20,0.03766366564182203,0.03766240238182261,0.0012696361397964912,0.06198822608327165,0.062112958774975635,0.0013624266382546452,0.0005,122.1745662689209,48.92295026779175
21,0.03534355790201408,0.03534803908915083,0.001199109946862299,0.06118074037572917,0.06129570830287524,0.0012997961724013614,0.0005,122.42503666877747,48.92295026779175
22,0.034841289354571654,0.03483832369144432,0.0011864528334454487,0.06117767490008298,0.061292741456505845,0.001279932781618241,0.0005,122.31176948547363,48.92295026779175
23,0.034566395346130895,0.03456795167443348,0.001181823598623973,0.06111757051857079,0.06123424075596978,0.0013147015338055572,0.0005,123.1652524471283,48.92295026779175
24,0.034356378491467505,0.0343534140187165,0.001179797199298764,0.06128786526182119,0.061418244548001946,0.001373093999617281,0.0005,122.65905404090881,48.92295026779175
25,0.03413842637925895,0.03413445952119883,0.0011773090705014112,0.06137255316271501,0.0614953282620614,0.0012257550499941174,0.0005,122.2778570652008,48.92295026779175
26,0.03386559306796807,0.033866568934271445,0.0011684233812909377,0.06118978954413358,0.06131709505969785,0.001255128405421798,0.0005,122.46470522880554,48.92295026779175
27,0.033548173564138695,0.033544772544697246,0.0011618261379108094,0.061235345352221936,0.06136003807261209,0.001325516240638599,0.0005,124.25599336624146,48.92295026779175
28,0.033315340474025526,0.033305577828033624,0.0011556722816319493,0.06153170972624246,0.061658860791301166,0.0011800756353383872,0.0005,125.23059415817261,48.92295026779175
29,0.033086995274495726,0.03309182255497685,0.0011508848169567989,0.06137477003914468,0.06150169940911306,0.0012484380759690938,0.0005,125.27492094039917,48.92295026779175
30,0.032683008697940344,0.03268639576099537,0.0011413569068699553,0.06113956024979844,0.06126790128533138,0.0012961522067150874,0.0005,125.4021110534668,48.92295026779175
31,0.03256264433209131,0.0325652283975999,0.001142003209880221,0.061269932371728564,0.061394973806042884,0.001276863158097741,0.0005,125.11646437644958,48.92295026779175
32,0.032648770291525034,0.03264613324081689,0.0011494241484947371,0.061640966245356726,0.061771679763645226,0.0012176838918038977,0.0005,125.29360151290894,48.92295026779175
33,0.03215277267258559,0.03215549825627437,0.0011331727913422892,0.06138488332576612,0.06152872350146199,0.001304122548528582,0.0005,125.47494888305664,48.92295026779175
34,0.03186502999890206,0.0318675233004386,0.0011242807843880346,0.06131222570205436,0.061444918524610134,0.0012642393265551294,0.0005,125.78536772727966,48.92295026779175
